pulled_at,seendate,title,url,domain,sourcecountry,language
2026-09-01T10:41:55Z,20260901T101500Z,库克的中国十五年 ： 种下苹果 ， 养大对手,https://www.163.com/dy/article/L5OQBRQ105118O92.html,163.com,China,Chinese
2026-09-01T10:41:55Z,20260901T094500Z,10 مليارات دولار ترسم الخريطة .. كيف تحولت الاستثمارات الصينية بمصر من الإنشاءات إلى الصناعة ؟ ,https://akhbarelyom.com/news/newdetails/4871878/1/10-%D9%85%D9%84%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-%D8%AA%D8%B1%D8%B3%D9%85-%D8%A7%D9%84%D8%AE%D8%B1%D9%8A%D8%B7%D8%A9-%D9%83%D9%8A%D9%81-%D8%AA%D8%AD%D9%88%D9%84%D8%AA-,akhbarelyom.com,Egypt,Arabic
2026-09-01T10:41:55Z,20260901T081500Z,"Sumadhura Group enters Chennai market with 52 - acre industrial and logistics park project , to invest ₹400 Crore",https://www.hindustantimes.com/real-estate/sumadhura-group-enters-chennai-market-with-52-acre-industrial-and-logistics-park-project-to-invest-400-crore-101788248429288.html,hindustantimes.com,India,English
2026-09-01T10:41:55Z,20260901T081500Z,Rusia setujui pembaruan strategi pengembangan industri otomotif,https://www.antaranews.com/berita/5720371/rusia-setujui-pembaruan-strategi-pengembangan-industri-otomotif,antaranews.com,Indonesia,Indonesian
2026-09-01T10:41:55Z,20260901T081500Z,"BOXABL ( BXBL ) Signs Deal for Up to 1 , 580 Modular Ranch Homes",https://www.citynewsokc.com/online_features/press_releases/boxabl-bxbl-signs-deal-for-up-to-1-580-modular-ranch-homes/article_1f227ae6-42a9-5135-836b-37e6f8f5fa0d.html,citynewsokc.com,,English
2026-09-01T10:41:55Z,20260901T073000Z,"October 2026 Global Sources Hong Kong Shows : 25 % Jump in Buyer Pre - registration as Europe , North America Lead the Surge",http://www.australiannews.net/news/279278161/october-2026-global-sources-hong-kong-shows-25-jump-in-buyer-pre-registration-as-europe-north-america-lead-the-surge,australiannews.net,Australia,English
2026-09-01T10:41:55Z,20260901T073000Z,Lassan valósággá válik a német rémálom : végleg térdre kényszeríthetik a kínaiak a Mercedest és a Volkswagent,https://www.penzcentrum.hu/auto/20260901/lassan-valosagga-valik-a-nemet-remalom-vegleg-terdre-kenyszerithetik-a-kinaiak-a-mercedest-es-a-volkswagent-1204720,penzcentrum.hu,Hungary,Hungarian
2026-09-01T10:41:55Z,20260901T071500Z,"Tappita Vocational Training Institute Opens Temporary Campus , Launches Academic Enrichment Program to Prepare Incoming Students for Full - Time Classes",https://frontpageafricaonline.com/tappita-vocational-training-institute-opens-temporary-campus-launches-academic-enrichment-program-to-prepare-incoming-students-for-full-time-classes/,frontpageafricaonline.com,Liberia,English
2026-09-01T10:41:55Z,20260901T070000Z,"Elon Musk and His SpaceX Plans : why SpaceX buys Tesla , and what the AI - sector ontology says about it",https://www.livetradingnews.com/elon-musk-and-his-spacex-plans-terafab-starmind-and-the-case-for-one-company,livetradingnews.com,United States,English
2026-09-01T10:41:55Z,20260901T051500Z,Außenminister Wadephul in Nordafrika : Migration statt Wirtschaft,https://www.tagesschau.de/ausland/afrika/wadephul-tunesien-algerien-reise-100.html,tagesschau.de,Germany,German
