pulled_at,reliefweb_id,title,url,date_created,source,countries,disaster_types
2026-09-09T05:38:57Z,4226935,GIEWS Country Brief: Lesotho 24-August-2026,https://reliefweb.int/node/4226935,2026-08-25T03:38:36+00:00,Food and Agriculture Organization of the United Nations,Lesotho,
2026-09-09T05:38:57Z,4225083,"Lesotho: Key Message Update - Maize imports expected to support food access despite below-average harvest, July 2026 - January 2027",https://reliefweb.int/node/4225083,2026-08-11T01:51:19+00:00,Famine Early Warning System Network,Lesotho,
2026-09-09T05:38:57Z,4224904,Lesotho | Drought induced food insecurity - Final Report (MDRLS008),https://reliefweb.int/node/4224904,2026-08-10T00:26:46+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4224430,WFP Lesotho Country Brief July 2026 (Reporting Period: June 2026),https://reliefweb.int/node/4224430,2026-08-05T08:45:33+00:00,World Food Programme,Lesotho,
2026-09-09T05:38:57Z,4224377,Lesotho: IPC Acute Food Insecurity Analysis May 2026 - March 2027 (Published on 3 August 2026),https://reliefweb.int/node/4224377,2026-08-05T00:59:56+00:00,Integrated Food Security Phase Classification,Lesotho,
2026-09-09T05:38:57Z,4222398,"Lesotho | Drought - Early Action Protocol Annual Report, 22 March 2026 (EAP2022LS01/MDRLS006)",https://reliefweb.int/node/4222398,2026-07-22T02:33:22+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4220815,Lesotho Food Security Outlook June 2026 - January 2027: Households expected to meet food needs following favorable harvest,https://reliefweb.int/node/4220815,2026-07-09T23:38:21+00:00,Famine Early Warning System Network,Lesotho,
2026-09-09T05:38:57Z,4216973,WFP Lesotho Country Brief June 2026,https://reliefweb.int/node/4216973,2026-06-19T08:39:35+00:00,World Food Programme,Lesotho,
2026-09-09T05:38:57Z,4214958,Lesotho Key Message Update May - September 2026: The ongoing favorable harvest is improving food consumption,https://reliefweb.int/node/4214958,2026-06-05T02:30:58+00:00,Famine Early Warning System Network,Lesotho,
2026-09-09T05:38:57Z,4214137,IOM Supports Strengthened District Coordination to Address Trafficking in Persons in Lesotho,https://reliefweb.int/node/4214137,2026-05-29T17:03:09+00:00,International Organization for Migration,Lesotho,
