pulled_at,reporter,reporter_code,flow,partner,cmd_code,cmd_desc,year,trade_value_usd
2026-09-01T14:52:56Z,Lesotho,426,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,325862.117
2026-09-01T14:52:56Z,Lesotho,426,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,10279099.012
2026-09-01T14:52:56Z,Lesotho,426,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,177696.27
2026-09-01T14:52:56Z,Lesotho,426,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,503558.387
2026-09-01T14:52:56Z,South Africa,710,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,583808645.74
2026-09-01T14:52:56Z,South Africa,710,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,1639456718.763
2026-09-01T14:52:56Z,South Africa,710,Re-import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,2639112.566
2026-09-01T14:52:56Z,South Africa,710,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,60889318.466
2026-09-01T14:52:56Z,South Africa,710,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2019,644697964.206
2026-09-01T14:52:56Z,Lesotho,426,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2020,211715.99
2026-09-01T14:52:56Z,Lesotho,426,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2020,8284229.046
2026-09-01T14:52:56Z,Lesotho,426,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2020,39341.261
2026-09-01T14:52:56Z,Lesotho,426,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2020,251057.251
2026-09-01T14:52:56Z,South Africa,710,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2020,524776011.473
