computed_at,anomaly_domain,anomaly_label,anomaly_period,anomaly_z_score,matched_category,related_article_count,related_article_titles,related_article_urls
2026-09-08T10:24:23Z,macro,"BWA — Personal remittances, received (current US$)",2024,4.781,labour_remittance,0,,
2026-09-08T10:24:23Z,macro,"BWA — Personal remittances, received (% of GDP)",2024,4.571,labour_remittance,0,,
2026-09-08T10:24:23Z,macro,BWA — Manufactured exports (% of merchandise exports),2023,-2.364,,0,,
2026-09-08T10:24:23Z,macro,"SWZ — Personal remittances, received (current US$)",2024,-2.1,labour_remittance,0,,
2026-09-08T10:24:23Z,macro,"SWZ — Personal remittances, received (% of GDP)",2024,-2.502,labour_remittance,0,,
2026-09-08T10:24:23Z,macro,"ZAF — Personal remittances, received (current US$)",2025,2.005,labour_remittance,0,,
2026-09-08T10:24:23Z,macro,"ZAF — Personal remittances, received (% of GDP)",2025,3.826,labour_remittance,0,,
2026-09-08T10:24:23Z,trade,Botswana — Animals; live (Export),2023,-5.156,,0,,
2026-09-08T10:24:23Z,trade,Botswana — Cereals (Import),2023,-2.51,,0,,
2026-09-08T10:24:23Z,trade,"Botswana — Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes (Import)",2023,-3.044,,0,,
2026-09-08T10:24:23Z,trade,Botswana — Sugars and sugar confectionery (Import),2023,-2.696,,0,,
2026-09-08T10:24:23Z,trade,"Botswana — Beverages, spirits and vinegar (Import)",2023,3.003,,0,,
2026-09-08T10:24:23Z,trade,"Botswana — Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin (Import)",2023,-2.067,,0,,
2026-09-08T10:24:23Z,trade,"Eswatini — Food industries, residues and wastes thereof; prepared animal fodder (Export)",2023,-2.243,,0,,
2026-09-08T10:24:23Z,trade,Eswatini — Fertilizers (Import),2023,-3.004,,0,,
2026-09-08T10:24:23Z,trade,Eswatini — Fabrics; knitted or crocheted (Export),2023,-3.951,,0,,
2026-09-08T10:24:23Z,trade,"Eswatini — Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof (Export)",2023,-3.42,,0,,
2026-09-08T10:24:23Z,trade,Lesotho — Vegetables and certain roots and tubers; edible (Import),2024,3.009,,0,,
2026-09-08T10:24:23Z,trade,"Lesotho — Coffee, tea, mate and spices (Import)",2024,2.457,,0,,
2026-09-08T10:24:23Z,trade,"Lesotho — Products of the milling industry; malt, starches, inulin, wheat gluten (Import)",2024,-2.739,,0,,
2026-09-08T10:24:23Z,trade,"Lesotho — Beverages, spirits and vinegar (Export)",2024,8.221,,0,,
2026-09-08T10:24:23Z,trade,"Lesotho — Textiles, made up articles; sets; worn clothing and worn textile articles; rags (Import)",2024,4.722,textiles_apparel,0,,
2026-09-08T10:24:23Z,trade,Namibia — Cereals (Import),2024,2.42,,0,,
2026-09-08T10:24:23Z,trade,Namibia — Sugars and sugar confectionery (Import),2024,2.875,,0,,
2026-09-08T10:24:23Z,trade,Namibia — Miscellaneous edible preparations (Import),2024,5.053,,0,,
2026-09-08T10:24:23Z,trade,"Namibia — Ores, slag and ash (Export)",2024,2.372,,0,,
2026-09-08T10:24:23Z,trade,"Namibia — Ores, slag and ash (Import)",2024,3.342,,0,,
2026-09-08T10:24:23Z,trade,"Namibia — Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes (Export)",2024,2.139,,0,,
2026-09-08T10:24:23Z,trade,Namibia — Fertilizers (Import),2024,4.037,,0,,
2026-09-08T10:24:23Z,trade,Namibia — Iron or steel articles (Export),2024,2.555,,0,,
2026-09-08T10:24:23Z,trade,Namibia — Iron or steel articles (Import),2024,2.017,,0,,
2026-09-08T10:24:23Z,trade,"Namibia — Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof (Export)",2024,2.423,,0,,
2026-09-08T10:24:23Z,trade,"Namibia — Aircraft, spacecraft, and parts thereof (Import)",2024,4.426,,0,,
2026-09-08T10:24:23Z,trade,"South Africa — Fruit and nuts, edible; peel of citrus fruit or melons (Export)",2025,2.431,,0,,
2026-09-08T10:24:23Z,trade,South Africa — Miscellaneous edible preparations (Export),2025,2.778,,0,,
2026-09-08T10:24:23Z,trade,"South Africa — Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories (Export)",2025,4.159,,0,,
2026-09-08T10:24:23Z,eci,Eswatini — SACU rank,2023,-2.5,,0,,
2026-09-08T10:24:23Z,eci,Namibia — SACU rank,2023,2.5,,0,,
