computed_at,year,exports_pct_gdp,imports_pct_gdp,trade_gap_pct_gdp,external_balance_pct_gdp,current_account_balance_pct_gdp
2026-09-08T05:39:29Z,2010,42.13,107.98,65.85,-65.85,-11.0
2026-09-08T05:39:29Z,2011,47.72,102.07,54.35,-54.35,-11.86
2026-09-08T05:39:29Z,2012,41.8,108.41,66.62,-66.62,-18.77
2026-09-08T05:39:29Z,2013,38.25,95.12,56.87,-56.87,-10.76
2026-09-08T05:39:29Z,2014,38.15,88.14,49.99,-49.99,-8.42
2026-09-08T05:39:29Z,2015,42.89,86.83,43.94,-43.94,-5.73
2026-09-08T05:39:29Z,2016,45.78,90.54,44.76,-44.76,-10.5
2026-09-08T05:39:29Z,2017,47.48,98.89,51.41,-51.41,-9.01
2026-09-08T05:39:29Z,2018,49.83,94.6,44.77,-44.77,-5.62
2026-09-08T05:39:29Z,2019,46.21,94.31,48.1,-48.1,-7.46
2026-09-08T05:39:29Z,2020,44.45,96.65,52.2,-52.2,-5.89
2026-09-08T05:39:29Z,2021,46.15,93.04,46.89,-46.89,-8.13
2026-09-08T05:39:29Z,2022,46.51,95.87,49.36,-49.36,-11.42
2026-09-08T05:39:29Z,2023,42.68,98.04,55.36,-55.36,-7.12
2026-09-08T05:39:29Z,2024,49.41,103.07,53.66,-53.66,3.73
2026-09-08T05:39:29Z,2025,49.53,104.45,54.92,-54.92,-0.15
