computed_at,country,from_year,to_year,cmd_code,cmd_desc,change_type,rca_before,rca_after
2026-09-08T05:39:29Z,Botswana,2018,2019,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",lost,1.038,0.63
2026-09-08T05:39:29Z,Botswana,2018,2019,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",lost,1.762,0.063
2026-09-08T05:39:29Z,Botswana,2018,2019,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",lost,1.122,0.909
2026-09-08T05:39:29Z,Eswatini,2018,2019,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,lost,1.455,0.337
2026-09-08T05:39:29Z,Eswatini,2018,2019,29,Organic chemicals,emerged,0.791,2.148
2026-09-08T05:39:29Z,Lesotho,2018,2019,23,"Food industries, residues and wastes thereof; prepared animal fodder",emerged,0.78,1.091
2026-09-08T05:39:29Z,Lesotho,2018,2019,50,Silk,lost,1.294,0.663
2026-09-08T05:39:29Z,Lesotho,2018,2019,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,emerged,0.005,9.044
2026-09-08T05:39:29Z,Lesotho,2018,2019,54,Man-made filaments; strip and the like of man-made textile materials,emerged,0.997,1.132
2026-09-08T05:39:29Z,Namibia,2018,2019,24,Tobacco and manufactured tobacco substitutes,lost,1.352,0.747
2026-09-08T05:39:29Z,Namibia,2018,2019,26,"Ores, slag and ash",emerged,0.976,1.291
2026-09-08T05:39:29Z,Namibia,2018,2019,40,Rubber and articles thereof,emerged,0.686,1.018
2026-09-08T05:39:29Z,Namibia,2018,2019,44,Wood and articles of wood; wood charcoal,emerged,0.775,1.414
2026-09-08T05:39:29Z,Namibia,2018,2019,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",emerged,0.725,1.676
2026-09-08T05:39:29Z,Namibia,2018,2019,78,Lead and articles thereof,lost,2.349,0.942
2026-09-08T05:39:29Z,Namibia,2018,2019,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",lost,1.066,0.083
2026-09-08T05:39:29Z,Namibia,2018,2019,89,"Ships, boats and floating structures",lost,12.159,0.624
2026-09-08T05:39:29Z,South Africa,2018,2019,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",emerged,0.939,1.046
2026-09-08T05:39:29Z,South Africa,2018,2019,78,Lead and articles thereof,emerged,0.963,1.059
2026-09-08T05:39:29Z,South Africa,2018,2019,89,"Ships, boats and floating structures",emerged,0.208,1.101
2026-09-08T05:39:29Z,South Africa,2018,2019,99,Commodities not specified according to kind,emerged,0.904,1.049
2026-09-08T05:39:29Z,Botswana,2019,2020,1,Animals; live,emerged,0.658,4.98
2026-09-08T05:39:29Z,Botswana,2019,2020,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",emerged,0.63,1.078
2026-09-08T05:39:29Z,Botswana,2019,2020,92,Musical instruments; parts and accessories of such articles,lost,1.136,0.329
2026-09-08T05:39:29Z,Lesotho,2019,2020,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",emerged,0.863,1.327
2026-09-08T05:39:29Z,Lesotho,2019,2020,23,"Food industries, residues and wastes thereof; prepared animal fodder",lost,1.091,0.823
2026-09-08T05:39:29Z,Lesotho,2019,2020,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,lost,9.044,0.33
2026-09-08T05:39:29Z,Lesotho,2019,2020,60,Fabrics; knitted or crocheted,emerged,0.908,1.221
2026-09-08T05:39:29Z,Lesotho,2019,2020,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",emerged,0.879,1.227
2026-09-08T05:39:29Z,Namibia,2019,2020,5,Animal originated products; not elsewhere specified or included,emerged,0.904,1.548
2026-09-08T05:39:29Z,Namibia,2019,2020,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",emerged,0.141,1.732
2026-09-08T05:39:29Z,Namibia,2019,2020,99,Commodities not specified according to kind,lost,1.329,0.658
2026-09-08T05:39:29Z,South Africa,2019,2020,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",lost,1.099,1.0
2026-09-08T05:39:29Z,South Africa,2019,2020,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",emerged,0.964,1.01
2026-09-08T05:39:29Z,South Africa,2019,2020,80,Tin; articles thereof,emerged,0.919,1.074
2026-09-08T05:39:29Z,Botswana,2020,2021,2,Meat and edible meat offal,lost,1.261,0.703
2026-09-08T05:39:29Z,Botswana,2020,2021,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",lost,1.078,0.854
2026-09-08T05:39:29Z,Eswatini,2020,2021,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,emerged,0.421,1.611
2026-09-08T05:39:29Z,Eswatini,2020,2021,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",emerged,0.312,5.524
2026-09-08T05:39:29Z,Lesotho,2020,2021,23,"Food industries, residues and wastes thereof; prepared animal fodder",emerged,0.823,1.203
2026-09-08T05:39:29Z,Lesotho,2020,2021,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",emerged,0.905,1.174
2026-09-08T05:39:29Z,Lesotho,2020,2021,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",emerged,0.497,1.077
2026-09-08T05:39:29Z,Lesotho,2020,2021,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,emerged,0.33,42.039
2026-09-08T05:39:29Z,Lesotho,2020,2021,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",emerged,0.654,1.089
