computed_at,metric_id,metric_label,window,n_historical_points,historical_year_range,latest_actual_year,latest_actual_value,target_year,target_value,projected_value,projected_lower,projected_upper,confidence_level,years_beyond_observed_data,status_vs_target,notes
2026-09-08T05:52:30Z,manufacturing_value_added_pct_gdp,"Manufacturing, value added (% of GDP)",full_history,15,2010-2024,2024,12.0674,2027,,16.7125,11.558,21.867,0.95,3.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufacturing_value_added_pct_gdp,"Manufacturing, value added (% of GDP)",full_history,15,2010-2024,2024,12.0674,2030,,17.3926,11.8099,22.9754,0.95,6.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufacturing_value_added_pct_gdp,"Manufacturing, value added (% of GDP)",recent_5yr,5,2020-2024,2024,12.0674,2027,,9.5336,3.3013,15.766,0.95,3.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufacturing_value_added_pct_gdp,"Manufacturing, value added (% of GDP)",recent_5yr,5,2020-2024,2024,12.0674,2030,,6.2192,-2.713,15.1513,0.95,6.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,fdi_net_inflows_pct_gdp,"FDI, net inflows (% of GDP)",full_history,16,2010-2025,2025,-0.2243,2027,,-0.8299,-4.2538,2.5941,0.95,2.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,fdi_net_inflows_pct_gdp,"FDI, net inflows (% of GDP)",full_history,16,2010-2025,2025,-0.2243,2030,,-1.5481,-5.2138,2.1175,0.95,5.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,fdi_net_inflows_pct_gdp,"FDI, net inflows (% of GDP)",recent_5yr,5,2021-2025,2025,-0.2243,2027,,-0.4064,-2.7242,1.9114,0.95,2.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,fdi_net_inflows_pct_gdp,"FDI, net inflows (% of GDP)",recent_5yr,5,2021-2025,2025,-0.2243,2030,,-0.2913,-3.7124,3.1298,0.95,5.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,unemployment_pct,"Unemployment, total (% of labour force)",full_history,16,2010-2025,2025,16.315,2027,,17.1902,15.4823,18.8981,0.95,2.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,unemployment_pct,"Unemployment, total (% of labour force)",full_history,16,2010-2025,2025,16.315,2030,,17.4004,15.5719,19.2289,0.95,5.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,unemployment_pct,"Unemployment, total (% of labour force)",recent_5yr,5,2021-2025,2025,16.315,2027,,15.1356,12.0438,18.2274,0.95,2.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,unemployment_pct,"Unemployment, total (% of labour force)",recent_5yr,5,2021-2025,2025,16.315,2030,,13.9113,9.3478,18.4748,0.95,5.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufactured_exports_pct,Manufactured exports (% of merchandise exports),full_history,15,2010-2024,2024,70.0568,2027,,82.2213,48.2444,116.1982,0.95,3.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufactured_exports_pct,Manufactured exports (% of merchandise exports),full_history,15,2010-2024,2024,70.0568,2030,,84.2085,47.4086,121.0085,0.95,6.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufactured_exports_pct,Manufactured exports (% of merchandise exports),recent_5yr,5,2020-2024,2024,70.0568,2027,,63.4381,47.3854,79.4908,0.95,3.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,manufactured_exports_pct,Manufactured exports (% of merchandise exports),recent_5yr,5,2020-2024,2024,70.0568,2030,,53.9849,30.9782,76.9915,0.95,6.0,no target set,"No explicit numeric target is stated in the strategy for this indicator -- forecast shown for monitoring purposes, not compared against a target."
2026-09-08T05:52:30Z,complexity_log_fitness_score,"Lesotho log-Fitness score (continuous complexity, not the discrete rank)",full_history,6,2018-2023,2023,-23.4203,2027,1.6094,-22.8413,-27.5231,-18.1594,0.95,4.0,behind target,"IMPLICIT target, not stated directly in the strategy: the current #1-ranked SACU country's own log-Fitness score (South Africa, 2023), since '#1 in SACU' is what the strategy's actual target means in continuous terms. This is a derived proxy target, not a value the strategy states directly -- treat accordingly. The discrete SACU rank (see forecast_log.csv) has shown ZERO variance across all years on record, which hides the more nuanced movement in this continuous score -- that's the reason this forecast exists at all."
2026-09-08T05:52:30Z,complexity_log_fitness_score,"Lesotho log-Fitness score (continuous complexity, not the discrete rank)",full_history,6,2018-2023,2023,-23.4203,2030,1.6094,-22.4899,-28.7116,-16.2683,0.95,7.0,behind target,"IMPLICIT target, not stated directly in the strategy: the current #1-ranked SACU country's own log-Fitness score (South Africa, 2023), since '#1 in SACU' is what the strategy's actual target means in continuous terms. This is a derived proxy target, not a value the strategy states directly -- treat accordingly. The discrete SACU rank (see forecast_log.csv) has shown ZERO variance across all years on record, which hides the more nuanced movement in this continuous score -- that's the reason this forecast exists at all."
2026-09-08T05:52:30Z,complexity_log_fitness_score,"Lesotho log-Fitness score (continuous complexity, not the discrete rank)",recent_5yr,5,2019-2023,2023,-23.4203,2027,1.6094,-24.6615,-27.3869,-21.9361,0.95,4.0,behind target,"IMPLICIT target, not stated directly in the strategy: the current #1-ranked SACU country's own log-Fitness score (South Africa, 2023), since '#1 in SACU' is what the strategy's actual target means in continuous terms. This is a derived proxy target, not a value the strategy states directly -- treat accordingly. The discrete SACU rank (see forecast_log.csv) has shown ZERO variance across all years on record, which hides the more nuanced movement in this continuous score -- that's the reason this forecast exists at all."
2026-09-08T05:52:30Z,complexity_log_fitness_score,"Lesotho log-Fitness score (continuous complexity, not the discrete rank)",recent_5yr,5,2019-2023,2023,-23.4203,2030,1.6094,-25.334,-29.1276,-21.5404,0.95,7.0,behind target,"IMPLICIT target, not stated directly in the strategy: the current #1-ranked SACU country's own log-Fitness score (South Africa, 2023), since '#1 in SACU' is what the strategy's actual target means in continuous terms. This is a derived proxy target, not a value the strategy states directly -- treat accordingly. The discrete SACU rank (see forecast_log.csv) has shown ZERO variance across all years on record, which hides the more nuanced movement in this continuous score -- that's the reason this forecast exists at all."
2026-09-08T05:52:30Z,export_diversification_hhi,"Lesotho export-basket concentration (HHI, lower = more diversified)",full_history,7,2018-2024,2024,1447.3,2027,,1130.0357,731.1134,1528.958,0.95,3.0,no target set,"No explicit numeric HHI target is stated in the strategy -- forecast shown for monitoring purposes. Unlike most other series in this phase, both windows here agree in DIRECTION (both negative, i.e. continued diversification) -- they differ in MAGNITUDE (recent trend diversifying faster than the full-history average), which is still worth showing both for."
2026-09-08T05:52:30Z,export_diversification_hhi,"Lesotho export-basket concentration (HHI, lower = more diversified)",full_history,7,2018-2024,2024,1447.3,2030,,841.6607,327.4122,1355.9093,0.95,6.0,no target set,"No explicit numeric HHI target is stated in the strategy -- forecast shown for monitoring purposes. Unlike most other series in this phase, both windows here agree in DIRECTION (both negative, i.e. continued diversification) -- they differ in MAGNITUDE (recent trend diversifying faster than the full-history average), which is still worth showing both for."
2026-09-08T05:52:30Z,export_diversification_hhi,"Lesotho export-basket concentration (HHI, lower = more diversified)",recent_5yr,5,2020-2024,2024,1447.3,2027,,973.87,399.88,1547.86,0.95,3.0,no target set,"No explicit numeric HHI target is stated in the strategy -- forecast shown for monitoring purposes. Unlike most other series in this phase, both windows here agree in DIRECTION (both negative, i.e. continued diversification) -- they differ in MAGNITUDE (recent trend diversifying faster than the full-history average), which is still worth showing both for."
2026-09-08T05:52:30Z,export_diversification_hhi,"Lesotho export-basket concentration (HHI, lower = more diversified)",recent_5yr,5,2020-2024,2024,1447.3,2030,,581.92,-240.7208,1404.5608,0.95,6.0,no target set,"No explicit numeric HHI target is stated in the strategy -- forecast shown for monitoring purposes. Unlike most other series in this phase, both windows here agree in DIRECTION (both negative, i.e. continued diversification) -- they differ in MAGNITUDE (recent trend diversifying faster than the full-history average), which is still worth showing both for."
2026-09-08T05:52:30Z,bop_trade_gap_pct_gdp,Balance-of-payments trade gap (imports % GDP minus exports % GDP),full_history,16,2010-2025,2025,54.92,2027,,47.6712,31.6135,63.729,0.95,2.0,no target set,"No explicit numeric trade-gap target is stated in the strategy -- forecast shown for monitoring purposes. The two windows DISAGREE IN DIRECTION here: the full-history trend reads as a very slowly narrowing gap, while the recent 5 years read as a WIDENING gap -- worth watching given this is the strategy's own founding diagnosis (Ch.1.3)."
2026-09-08T05:52:30Z,bop_trade_gap_pct_gdp,Balance-of-payments trade gap (imports % GDP minus exports % GDP),full_history,16,2010-2025,2025,54.92,2030,,46.1651,28.9737,63.3565,0.95,5.0,no target set,"No explicit numeric trade-gap target is stated in the strategy -- forecast shown for monitoring purposes. The two windows DISAGREE IN DIRECTION here: the full-history trend reads as a very slowly narrowing gap, while the recent 5 years read as a WIDENING gap -- worth watching given this is the strategy's own founding diagnosis (Ch.1.3)."
2026-09-08T05:52:30Z,bop_trade_gap_pct_gdp,Balance-of-payments trade gap (imports % GDP minus exports % GDP),recent_5yr,5,2021-2025,2025,54.92,2027,,60.182,48.5991,71.7649,0.95,2.0,no target set,"No explicit numeric trade-gap target is stated in the strategy -- forecast shown for monitoring purposes. The two windows DISAGREE IN DIRECTION here: the full-history trend reads as a very slowly narrowing gap, while the recent 5 years read as a WIDENING gap -- worth watching given this is the strategy's own founding diagnosis (Ch.1.3)."
2026-09-08T05:52:30Z,bop_trade_gap_pct_gdp,Balance-of-payments trade gap (imports % GDP minus exports % GDP),recent_5yr,5,2021-2025,2025,54.92,2030,,66.29,49.1936,83.3864,0.95,5.0,no target set,"No explicit numeric trade-gap target is stated in the strategy -- forecast shown for monitoring purposes. The two windows DISAGREE IN DIRECTION here: the full-history trend reads as a very slowly narrowing gap, while the recent 5 years read as a WIDENING gap -- worth watching given this is the strategy's own founding diagnosis (Ch.1.3)."
