computed_at,year,country,country_code,cmd_code,cmd_desc,regional_rca
2026-09-07T07:02:06Z,2018,Botswana,BWA,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",4.12
2026-09-07T07:02:06Z,2018,Botswana,BWA,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",3.831
2026-09-07T07:02:06Z,2018,Botswana,BWA,2,Meat and edible meat offal,3.65
2026-09-07T07:02:06Z,2018,Botswana,BWA,13,"Lac; gums, resins and other vegetable saps and extracts",1.898
2026-09-07T07:02:06Z,2018,Botswana,BWA,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1.762
2026-09-07T07:02:06Z,2018,Eswatini,SWZ,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",30.02
2026-09-07T07:02:06Z,2018,Eswatini,SWZ,17,Sugars and sugar confectionery,26.335
2026-09-07T07:02:06Z,2018,Eswatini,SWZ,60,Fabrics; knitted or crocheted,25.447
2026-09-07T07:02:06Z,2018,Eswatini,SWZ,62,Apparel and clothing accessories; not knitted or crocheted,16.559
2026-09-07T07:02:06Z,2018,Eswatini,SWZ,38,Chemical products n.e.c.,10.617
2026-09-07T07:02:06Z,2018,Lesotho,LSO,61,Apparel and clothing accessories; knitted or crocheted,63.042
2026-09-07T07:02:06Z,2018,Lesotho,LSO,62,Apparel and clothing accessories; not knitted or crocheted,45.09
2026-09-07T07:02:06Z,2018,Lesotho,LSO,52,Cotton,35.877
2026-09-07T07:02:06Z,2018,Lesotho,LSO,80,Tin; articles thereof,26.038
2026-09-07T07:02:06Z,2018,Lesotho,LSO,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",14.06
2026-09-07T07:02:06Z,2018,Namibia,NAM,79,Zinc and articles thereof,14.067
2026-09-07T07:02:06Z,2018,Namibia,NAM,89,"Ships, boats and floating structures",12.159
2026-09-07T07:02:06Z,2018,Namibia,NAM,1,Animals; live,10.955
2026-09-07T07:02:06Z,2018,Namibia,NAM,74,Copper and articles thereof,9.992
2026-09-07T07:02:06Z,2018,Namibia,NAM,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8.455
2026-09-07T07:02:06Z,2018,South Africa,ZAF,75,Nickel and articles thereof,1.18
2026-09-07T07:02:06Z,2018,South Africa,ZAF,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1.179
2026-09-07T07:02:06Z,2018,South Africa,ZAF,81,"Metals; n.e.c., cermets and articles thereof",1.179
2026-09-07T07:02:06Z,2018,South Africa,ZAF,37,Photographic or cinematographic goods,1.178
2026-09-07T07:02:06Z,2018,South Africa,ZAF,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1.178
2026-09-07T07:02:06Z,2019,Botswana,BWA,13,"Lac; gums, resins and other vegetable saps and extracts",5.618
2026-09-07T07:02:06Z,2019,Botswana,BWA,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",4.283
2026-09-07T07:02:06Z,2019,Botswana,BWA,2,Meat and edible meat offal,3.096
2026-09-07T07:02:06Z,2019,Botswana,BWA,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",3.028
2026-09-07T07:02:06Z,2019,Botswana,BWA,92,Musical instruments; parts and accessories of such articles,1.136
2026-09-07T07:02:06Z,2019,Eswatini,SWZ,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",26.741
2026-09-07T07:02:06Z,2019,Eswatini,SWZ,17,Sugars and sugar confectionery,22.703
2026-09-07T07:02:06Z,2019,Eswatini,SWZ,60,Fabrics; knitted or crocheted,21.689
2026-09-07T07:02:06Z,2019,Eswatini,SWZ,62,Apparel and clothing accessories; not knitted or crocheted,15.19
2026-09-07T07:02:06Z,2019,Eswatini,SWZ,38,Chemical products n.e.c.,8.618
2026-09-07T07:02:06Z,2019,Lesotho,LSO,61,Apparel and clothing accessories; knitted or crocheted,60.604
2026-09-07T07:02:06Z,2019,Lesotho,LSO,62,Apparel and clothing accessories; not knitted or crocheted,37.358
2026-09-07T07:02:06Z,2019,Lesotho,LSO,52,Cotton,33.961
2026-09-07T07:02:06Z,2019,Lesotho,LSO,80,Tin; articles thereof,20.101
2026-09-07T07:02:06Z,2019,Lesotho,LSO,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",13.655
2026-09-07T07:02:06Z,2019,Namibia,NAM,79,Zinc and articles thereof,20.583
2026-09-07T07:02:06Z,2019,Namibia,NAM,1,Animals; live,13.088
2026-09-07T07:02:06Z,2019,Namibia,NAM,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",12.271
2026-09-07T07:02:06Z,2019,Namibia,NAM,43,Furskins and artificial fur; manufactures thereof,10.046
2026-09-07T07:02:06Z,2019,Namibia,NAM,74,Copper and articles thereof,7.959
2026-09-07T07:02:06Z,2019,South Africa,ZAF,75,Nickel and articles thereof,1.145
