pulled_at,document_number,title,document_type,publication_date,agency_names,abstract,html_url
2026-09-10T07:58:14Z,2026-13177,Request for Comments and Notice of Public Hearing Concerning the Annual Review of Country Eligibility for Benefits Under the African Growth and Opportunity Act for Calendar Year 2027,Notice,2026-06-30,"Trade Representative, Office of United States","USTR is announcing the initiation of its 26th annual review of the eligibility of sub-Saharan African countries to receive the benefits of the current African Growth and Opportunity Act (AGOA), if reauthorized, for calendar year 2027. USTR is requesting written comments for this review and will conduct a public hearing on this matter. In developing its recommendations on AGOA country eligibility for calendar year 2027, USTR, in coordination with the AGOA Implementation Subcommittee of the Trade Policy Staff Committee (AGOA TPSC Subcommittee), will consider written comments, written testimony, and oral testimony.",https://www.federalregister.gov/documents/2026/06/30/2026-13177/request-for-comments-and-notice-of-public-hearing-concerning-the-annual-review-of-country
2026-09-10T07:58:14Z,2026-08976,Agency Information Collection Activities; Extension; African Growth and Opportunity Act (AGOA) Textile Certificate of Origin,Notice,2026-05-06,Homeland Security Department;U.S. Customs and Border Protection,"The Department of Homeland Security, U.S. Customs and Border Protection (CBP) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (PRA). The information collection is published in the Federal Register to obtain comments from the public and affected agencies.",https://www.federalregister.gov/documents/2026/05/06/2026-08976/agency-information-collection-activities-extension-african-growth-and-opportunity-act-agoa-textile
2026-09-10T07:58:14Z,2026-08347,Request for Comments on the Modernization of the African Growth and Opportunity Act (AGOA),Notice,2026-04-29,"Trade Representative, Office of United States","The Office of the United States Trade Representative (USTR) invites comments from interested parties to inform the development of trade policy recommendations on the modernization of the African Growth and Opportunity Act (AGOA), which is authorized through December 31, 2026. As part of forthcoming Congressional consideration of AGOA reauthorization, USTR will provide recommendations to Congress on reforms and modernizations to AGOA to ensure the program meets the needs of American workers and businesses, advances U.S. national security and economic security goals, optimizes balanced bilateral trade flows with beneficiary countries, and provides a path for reciprocal trade agreements with the more advanced countries as they develop and graduate from the program.",https://www.federalregister.gov/documents/2026/04/29/2026-08347/request-for-comments-on-the-modernization-of-the-african-growth-and-opportunity-act-agoa
2026-09-10T07:58:14Z,2025-18851,Agency Information Collection Activities; Extension; African Growth and Opportunity Act (AGOA) Textile Certificate of Origin,Notice,2025-09-29,Homeland Security Department;U.S. Customs and Border Protection,"The Department of Homeland Security, U.S. Customs and Border Protection (CBP) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (PRA). The information collection is published in the Federal Register to obtain comments from the public and affected agencies.",https://www.federalregister.gov/documents/2025/09/29/2025-18851/agency-information-collection-activities-extension-african-growth-and-opportunity-act-agoa-textile
2026-09-10T07:58:14Z,2025-09795,Request for Comments and Notice of Public Hearing Concerning the Annual Review of Country Eligibility for Benefits Under the African Growth and Opportunity Act for Calendar Year 2026,Notice,2025-05-30,"Trade Representative, Office of United States","The Office of the United States Trade Representative (USTR) is announcing the initiation of the annual review of the eligibility of sub-Saharan African countries to receive the benefits of the African Growth and Opportunity Act (AGOA). The AGOA Implementation Subcommittee of the Trade Policy Staff Committee (AGOA TPSC Subcommittee) is requesting written comments for this review and will conduct a public hearing on this matter. In developing its recommendations on AGOA country eligibility for calendar year 2026, the AGOA TPSC Subcommittee will consider written comments, written testimony, and oral testimony.",https://www.federalregister.gov/documents/2025/05/30/2025-09795/request-for-comments-and-notice-of-public-hearing-concerning-the-annual-review-of-country
2026-09-10T07:58:14Z,2024-29050,Open Meeting of the President's Advisory Council on Doing Business in Africa,Notice,2024-12-11,Commerce Department;International Trade Administration,"The President's Advisory Council on Doing Business in Africa (PAC-DBIA or Council) will hold a meeting to deliberate and adopt a report commemorating the 10-year anniversary of the establishment of the PAC-DBIA. The PAC-DBIA will present summaries of past recommendations across twelve key topics: Infrastructure, Financing, Technology & Digital Economy, Energy & Environment, Health, Agribusiness & Food-Water Security, Trade Facilitation & Supply-Value Chains, Bilateral Engagement Mechanisms, Public Procurement, Workforce & Skills Development, SMEs & Women Entrepreneurs, and the African Growth and Opportunity Act (AGOA). U.S. Government principals will provide feedback summarizing actions taken by departments, agencies, and programs that have address the PAC-DBIA's recommendations. The PAC- DBIA will also present a review of key fact-finding activities conducted and analytical reports produced over the 10 years of the PAC- DBIA's existence. Finally, the PAC-DBIA will present forward-looking recommendations regarding utilization of the PAC-DBIA and U.S.-Africa commercial engagement in general. The final agenda for the meeting will be posted prior to the meeting on the Council's website at http:// trade.gov/pac-dbia.",https://www.federalregister.gov/documents/2024/12/11/2024-29050/open-meeting-of-the-presidents-advisory-council-on-doing-business-in-africa
2026-09-10T07:58:14Z,2024-15926,President's Advisory Council on Doing Business in Africa,Notice,2024-07-19,Commerce Department;International Trade Administration,"The President's Advisory Council on Doing Business in Africa will hold a meeting to deliberate and adopt recommendations on the reauthorization and modernization of the Africa Growth and Opportunity Act (AGOA). The PAC-DBIA will present recommendations focused on proposed duration of a renewal of AGOA, eligibility criteria for African nations, opportunities for greater utilization of AGOA benefits by eligible countries, coverage of specific key sectors under AGOA, and priorities for growing U.S.-Africa trade and investment relationships outside of the AGOA program. The final agenda for the meeting will be posted prior to the meeting on the Council's website at http:// trade.gov/pac-dbia.",https://www.federalregister.gov/documents/2024/07/19/2024-15926/presidents-advisory-council-on-doing-business-in-africa
2026-09-10T07:58:14Z,2024-10482,Request for Comments and Notice of Public Hearing Concerning the Annual Review of Country Eligibility for Benefits Under the African Growth and Opportunity Act for Calendar Year 2025,Notice,2024-05-14,"Trade Representative, Office of United States","The Office of the United States Trade Representative (USTR) is announcing the initiation of the annual review of the eligibility of sub-Saharan African countries to receive the benefits of the African Growth and Opportunity Act (AGOA). The AGOA Implementation Subcommittee of the Trade Policy Staff Committee (AGOA TPSC Subcommittee) is requesting written public comments for this review and will conduct a virtual public hearing on this matter. In developing its recommendations on AGOA country eligibility for calendar year 2025, the AGOA TPSC Subcommittee will consider written comments, written testimony, and oral testimony.",https://www.federalregister.gov/documents/2024/05/14/2024-10482/request-for-comments-and-notice-of-public-hearing-concerning-the-annual-review-of-country
2026-09-10T07:58:14Z,2024-00051,To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Presidential Document,2024-01-04,Executive Office of the President,,https://www.federalregister.gov/documents/2024/01/04/2024-00051/to-take-certain-actions-under-the-african-growth-and-opportunity-act-and-for-other-purposes
2026-09-10T07:58:14Z,2023-16027,Submission of Post-Hearing Comments: Annual Review of Country Eligibility for Benefits Under the African Growth and Opportunity Act for Calendar Year 2024,Notice,2023-07-28,"Trade Representative, Office of United States","On July 24, 2023, the Office of the United States Trade Representative (USTR) held a virtual public hearing to receive oral testimony related to the annual review of the eligibility of sub- Saharan African countries to receive the benefits of the African Growth and Opportunity Act (AGOA). USTR is accepting post-hearing comments until August 8, 2023.",https://www.federalregister.gov/documents/2023/07/28/2023-16027/submission-of-post-hearing-comments-annual-review-of-country-eligibility-for-benefits-under-the
